burst duration,within-burst spiking freq,within-burst max spiking freq,within-burst number of spikes,inter-burst interval,percentage of burst spikes,burst frequency,mean surprise,max surprise,Subject,label
0.0004026099999999997,12418.966245249754,12418.966245249756,5,0.0,0.21739130434782608,201.9573708381635,1.1927295527305588,1.1927295527305588,060324124,0
2.9790000000000093e-05,100704.93454179223,100704.93454179223,3,0.0,0.01056338028169014,200.1981962142521,3.6157577278493966,3.6157577278493966,071031005,0
0.002298609999999999,23057.41295826609,81081.08108108114,53,0.0017937100000000004,0.7681159420289855,1722.6862708364288,1.3148304616924749,1.999648363863076,070928020,1
0.001484809999999999,17510.657929297362,31776.29488401658,26,0.0017316800000000008,0.5306122448979592,800.3457493637252,2.0943485669780344,2.4720351643234184,070928013,1
0.00274717,16016.482416450383,37309.95242981057,44,0.0011884400000000007,0.7213114754098361,1603.6306197230529,1.324211679277763,2.3352226810214205,070928016,1
0.00197751,19721.771318476265,34680.6229901003,39,0.002424049999999999,0.609375,1001.4521055530519,1.643009834466032,2.8183307362699668,070928017,1
0.001383460000000001,28190.189813944726,49962.52810392205,39,0.0025478899999999997,0.5416666666666666,1304.2344143987482,1.1698332855450229,1.5311477634973703,071010049,1
0.00176936,15259.754939639191,20020.020020020045,27,0.00199176,0.54,1018.2718704432334,1.4528538804541424,1.7822424048905436,071010050,1
0.001375789999999998,37796.46603042621,51273.28661767214,52,0.002899100000000002,0.5714285714285714,1606.5031246485773,1.1081457530257732,1.5257997672239918,071010051,1
0.0015401300000000007,20777.46683721503,39916.17603033624,32,0.0022414699999999993,0.5614035087719298,1232.392196492612,1.3888079326445328,2.9415322184657158,071010052,1
0.001536350000000001,26035.734044976714,54432.022777708,40,0.0033764299999999993,0.6153846153846154,1212.1530464436441,1.5172647890405455,4.122008758344362,071010056,1
0.0016124899999999994,28527.30869648805,49067.713444553534,46,0.0016095300000000003,0.5609756097560976,1012.6233628411783,1.6091782238163497,2.7412095202261746,071010054,1
0.0011806899999999999,6775.6989556953995,12555.715989704318,8,0.00120391,0.25,404.30340544758417,1.373569407617368,1.6136990536624587,060223174,1
0.00100932,9907.660603178378,25980.77422707196,10,0.0031986,0.38461538461538464,624.0639041437843,1.0504951283868056,1.388560297107748,060223176,1
0.0007649499999999998,9150.924897052097,9671.881422733757,7,0.0015737300000000002,0.21212121212121213,401.0386902076378,1.0937435876416175,1.3967581657395147,060223173,1
0.0009093199999999993,13196.674438041624,23822.75867545464,12,0.00153128,0.3870967741935484,800.0960115213827,0.9038480500081295,1.0572619534318273,060223172,1
0.0007888200000000003,26622.043051646753,64780.824875836646,21,0.0023982099999999996,0.29577464788732394,1015.2634710233652,1.79038634989486,5.18845917605877,071016114,1
0.0010375300000000003,26987.171455283213,51980.45534878874,28,0.0031355399999999996,0.42424242424242425,1205.8265539084857,1.17912521790364,1.7056594508304654,071016119,1
0.0023572300000000005,16544.842887626575,34865.47736649422,39,0.00259206,0.7358490566037735,1602.5287904313009,1.123945212165848,1.6914953460561917,071016120,1
0.0017889599999999994,19005.455683749224,21953.89681668497,34,0.00233242,0.6666666666666666,818.6856820061074,1.6718783665391843,2.6843969670005876,071016121,1
0.0027230399999999995,16892.88442329162,44563.27985739747,46,0.0021176100000000007,0.8070175438596491,1614.47864448373,1.3155022368569589,2.5048262890105835,071016122,1
0.00046081000000000084,41231.74410277547,43106.10259252398,19,0.00010367999999999977,0.17592592592592593,404.4792026905957,1.0867658745867743,1.191495319104791,071009065,1
0.001473120000000001,33262.73487563808,52294.417570923884,49,0.0034062399999999996,0.6125,1408.4903800107047,1.1697394633195652,1.919673005373516,071009064,1
0.0010950699999999994,37440.52891595973,64370.7756678468,41,0.0031404799999999997,0.4823529411764706,621.3173999937868,2.0698103526212273,2.922475849497006,071009063,1
0.00032762000000000004,36627.800500579935,41469.1943127963,12,0.00017547000000000024,0.13636363636363635,402.608095240971,0.9961362537191183,1.1642270154769614,071009020,1
0.00071878,23651.186733075487,25906.735751295342,17,0.00220909,0.288135593220339,404.88862526140616,1.1757130132464773,1.2686925295542917,071009014,1
0.001224670000000001,22046.755452489222,25100.031005920657,27,0.0036114799999999994,0.627906976744186,608.2614064220238,2.091824504491538,3.6365629011439204,071009015,1
0.0007559800000000001,22487.36739067171,42629.049759727175,17,0.0005561,0.4473684210526316,649.8331011985089,1.885013624960736,4.143665113047911,071009017,1
0.00130728,33657.670889174464,45831.514622435694,44,0.0021889,0.55,1012.7936088672105,1.771273914111293,4.2683548365946375,071010006,1
0.0009152800000000001,46980.15907700375,49404.545218160056,43,0.00108188,0.5180722891566265,400.3410906091991,4.309525273523997,7.823295371422328,071010004,1
0.0007100699999999999,16899.742278930247,16899.742278930247,12,0.0,0.16216216216216217,203.8312114504221,1.0821002859075526,1.0821002859075526,071010015,1
0.0008584400000000008,36112.017147383594,39382.48267170763,31,0.0029075299999999993,0.37349397590361444,400.1056278857618,2.107517364254276,2.5016012175639846,071010003,1
0.0024909799999999994,11240.555925780218,23813.389619526995,28,0.0005104900000000004,0.7,408.0908083666777,5.270663178388699,9.311662060905213,071010019,1
0.0004801899999999999,24990.10808221746,32530.904359141197,12,0.0027573499999999996,0.17391304347826086,602.0131319131175,1.0612559936551766,1.253658542579955,060330067,1
0.0011758200000000006,28915.990542770138,51566.32718834592,34,0.003501719999999999,0.37777777777777777,1237.0725914196646,1.0290377288836996,1.3603173256622385,060330058,1
0.0021391000000000014,22439.343649198247,33340.74238719718,48,0.002394949999999999,0.6486486486486487,2005.4307063528033,1.0312510757598163,1.7172827469530834,060330069,1
0.0008262899999999999,26625.034794079562,47588.83248730966,22,0.00270523,0.2894736842105263,600.9482964117377,1.2463855409561695,1.5444866887979545,060330055,1
0.0013871800000000015,25231.044276878245,39531.55111923701,35,0.0028099299999999987,0.4794520547945205,1408.918453812634,1.0914931348688042,1.6076090947936097,060330068,1
0.0017249200000000009,24928.692345152227,49701.78926441336,43,0.0023825699999999984,0.5972222222222222,1406.1109582244433,1.0410102599595772,1.2727304653297233,060330056,1
0.00023723000000000027,92737.00628082441,101445.59979710919,22,0.00212823,0.12222222222222222,604.3342854955742,1.2390466572786698,1.5495507311373358,704004025,1
0.0006684699999999992,56846.23094529305,89035.86873569078,38,0.0012224499999999997,0.2638888888888889,800.9771921744529,1.188418636616051,1.6808710288758972,704004024,1
0.000889390000000001,55093.94079087908,65995.71027883182,49,0.001560189999999999,0.3798449612403101,1001.9377476038658,1.2563397967305954,2.3791480016528697,060915037,1
0.0024858899999999984,20918.06153932798,71174.37722419928,52,0.0021072800000000013,0.7647058823529411,1808.4309048785437,1.2689021350750624,3.0531180746630935,060915027,1
0.0008945899999999991,54773.69521233196,64533.4767410594,49,0.0002213700000000003,0.3888888888888889,401.29779707574295,3.416280651332004,3.923224884036936,060915028,1
0.0008355800000000016,41887.07245266753,68493.15068493003,35,0.0028175699999999984,0.30434782608695654,1419.1183625806868,0.8138869209230044,1.3589812449514544,060915029,1
0.0013525099999999997,20702.24989094351,27342.099376103,28,0.00264724,0.4444444444444444,813.7143415118405,0.9937680741260182,1.4717275096333275,060919041,1
0.0014320600000000008,24440.31674650502,29391.018104867122,35,0.0010391400000000002,0.45454545454545453,603.1654120826095,1.418426018759443,2.4928906230663586,060919042,1
0.00016071000000000035,37334.32891543766,37334.32891543767,6,0.0,0.06,200.8629070486811,0.9139250460044748,0.9139250460044748,060919043,1
0.0004949700000000002,30304.866961634027,41655.09580672024,15,0.0021653700000000002,0.22727272727272727,808.817730902297,1.0097554680315113,1.4915537813278459,060919061,1
0.0005324099999999991,35686.782742623225,47581.284694687056,19,0.0031174,0.25,610.1628728095152,0.9832256195690907,1.4529690298507583,060919059,1
0.00018909,63461.84356655561,69799.90693345739,12,0.0027796,0.11320754716981132,604.3890734514041,0.9455397760957717,1.1831855444485349,071220081,1
0.00047306000000000057,48619.62541749455,98749.17709019067,23,0.00424964,0.26136363636363635,1003.8467407104024,1.2368567481843356,2.4580166010270474,071220082,1
0.00019801999999999976,35349.96465003539,74202.325006184,7,0.0027136400000000002,0.056,402.2946889055171,0.8810197209140918,1.0501544671162866,071220066,1
0.0015426600000000004,34356.2418160839,40508.08715025608,53,0.00245515,0.654320987654321,1041.0832262752751,2.045493936213364,3.626688850412102,061023027,1
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020108A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020108A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020108A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020115A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020115A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020115A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020208A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020208A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020208A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020221A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020221A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020221A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020225B,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020225B,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020225B,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020311A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020311A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020311A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020311B,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020311B,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020311B,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020322A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020322A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020322A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020326A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020326A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020326A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020327A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020327A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020327A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020327B,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020327B,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020327B,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020506A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020506A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020506A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020508A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020508A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020508A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020709B,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020709B,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020709B,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020806A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020806A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020806A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR020910A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR020910A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR020910A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR030618A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR030618A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR030618A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR030710A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR030710A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR030710A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_LN_CR031013A,0
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_LN_CR031013A,0
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_LN_CR031013A,0
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_PN1,1
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_PN1,1
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_PN1,1
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_PN2,1
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_PN2,1
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_PN2,1
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_PN3,1
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_PN3,1
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_PN3,1
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_PN_CR011218B,1
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_PN_CR011218B,1
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_PN_CR011218B,1
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_PN_CR020131A,1
0.0003059999999999974,9803.921568627535,9803.921568627535,3,0.0,1.0,32.552083333333336,4.971205151351063,4.971205151351063,ts_PN_CR020131A,1
0.003668999999999997,4088.3074407195454,4088.307440719546,15,0.0,1.0,18.2000182000182,12.1610118314175,12.1610118314175,ts_PN_CR020131A,1
0.0008048000000000002,7455.2683896620265,7455.2683896620265,6,0.0,1.0,176.16489033735579,3.2156459310674546,3.2156459310674546,ts_PN_CR020215A,1
